municipio,UF,Módulo fiscal (ha),,
Acrelândia,AC,100,,
Assis Brasil,AC,100,,
Brasiléia,AC,100,,
Bujari,AC,70,,
Capixaba,AC,70,,
Cruzeiro do Sul,AC,100,,
Epitaciolândia,AC,100,,
Feijó,AC,100,,
Jordão,AC,100,,
Mâncio Lima,AC,100,,
Manoel Urbano,AC,100,,
Marechal Thaumaturgo,AC,100,,
Plácido de Castro,AC,100,,
Porto Acre,AC,70,,
Porto Walter,AC,100,,
Rio Branco,AC,70,,
Rodrigues Alves,AC,100,,
Santa Rosa do Purus,AC,100,,
Sena Madureira,AC,100,,
Senador Guiomard,AC,100,,
Tarauacá,AC,100,,
Xapuri,AC,100,,
Água Branca,AL,70,,
Anadia,AL,35,,
Arapiraca,AL,15,,
Atalaia,AL,16,,
Barra de Santo Antânio,AL,18,,
Barra de São Miguel,AL,30,,
Batalha,AL,70,,
Belém,AL,35,,
Belo Monte,AL,70,,
Boca da Mata,AL,30,,
Branquinha,AL,16,,
Cacimbinhas,AL,35,,
Cajueiro,AL,16,,
Campestre,AL,16,,
Campo Alegre,AL,30,,
Campo Grande,AL,35,,
Canapi,AL,70,,
Capela,AL,16,,
Carneiros,AL,70,,
Chã Preta,AL,16,,
Coité do Nóia,AL,15,,
Colânia Leopoldina,AL,16,,
Coqueiro Seco,AL,12,,
Coruripe,AL,30,,
Craíbas,AL,15,,
Delmiro Gouveia,AL,70,,
Dois Riachos,AL,70,,
Estrela de Alagoas,AL,35,,
Feira Grande,AL,15,,
Feliz Deserto,AL,60,,
Flexeiras,AL,16,,
Girau do Ponciano,AL,15,,
Ibateguara,AL,16,,
Igaci,AL,35,,
Igreja Nova,AL,60,,
Inhapi,AL,70,,
Jacaré dos Homens,AL,70,,
Jacuípe,AL,16,,
Japaratinga,AL,16,,
Jaramataia,AL,70,,
Jequiá da Praia,AL,30,,
Joaquim Gomes,AL,16,,
Jundiá,AL,16,,
Junqueiro,AL,35,,
Lagoa da Canoa,AL,15,,
Limoeiro de Anadia,AL,35,,
Maceió,AL,7,,
Major Isidoro,AL,70,,
Mar Vermelho,AL,35,,
Maragogi,AL,16,,
Maravilha,AL,70,,
Marechal Deodoro,AL,12,,
Maribondo,AL,35,,
Mata Grande,AL,70,,
Matriz de Camaragibe,AL,16,,
Messias,AL,16,,
Minador do Negrão,AL,35,,
Monteirópolis,AL,70,,
Murici,AL,16,,
Novo Lino,AL,16,,
Olho D'água das Flores,AL,70,,
Olho D'água do Casado,AL,70,,
Olho D'água Grande,AL,35,,
Olivença,AL,70,,
Ouro Branco,AL,70,,
Palestina,AL,70,,
Palmeira dos ═ndios,AL,35,,
Pão de Açúcar,AL,70,,
Pariconha,AL,70,,
Paripueira,AL,18,,
Passo de Camaragibe,AL,16,,
Paulo Jacinto,AL,35,,
Penedo,AL,50,,
